medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Bronze Medal,3,2024-08-04,CHIA/SOH,MAS,M,Badminton,Men's Doubles,HCOUP,/en/paris-2024/results/badminton/men-s-doubles/fnl-000200--,BDMMDOUBLES-MAS01
Bronze Medal,3,2024-08-04,YUNIOR ALCANTARA REYES,DOM,M,Boxing,Men's 51kg,HATH,/en/paris-2024/results/boxing/men-s-51kg/sfnl000100--,1908817
Bronze Medal,3,2024-08-04,DAVID DE PINA,CPV,M,Boxing,Men's 51kg,HATH,/en/paris-2024/results/boxing/men-s-51kg/sfnl000200--,1892464
Bronze Medal,3,2024-08-04,WYATT SANFORD,CAN,M,Boxing,Men's 63.5kg,HATH,/en/paris-2024/results/boxing/men-s-63-5kg/sfnl000100--,1972293
Bronze Medal,3,2024-08-04,LASHA GURULI,GEO,M,Boxing,Men's 63.5kg,HATH,/en/paris-2024/results/boxing/men-s-63-5kg/sfnl000200--,1550184
Bronze Medal,3,2024-08-04,CRISTIAN JAVIER PINALES,DOM,M,Boxing,Men's 80kg,HATH,/en/paris-2024/results/boxing/men-s-80kg/sfnl000100--,1943368
Bronze Medal,3,2024-08-04,ARLEN LOPEZ CARDONA,CUB,M,Boxing,Men's 80kg,HATH,/en/paris-2024/results/boxing/men-s-80kg/sfnl000200--,1555548
Bronze Medal,3,2024-08-04,ENMANUEL REYES PLA,ESP,M,Boxing,Men's 92kg,HATH,/en/paris-2024/results/boxing/men-s-92kg/sfnl000100--,1934790
Bronze Medal,3,2024-08-04,DAVLAT BOLTAEV,TJK,M,Boxing,Men's 92kg,HATH,/en/paris-2024/results/boxing/men-s-92kg/sfnl000200--,1909011
Bronze Medal,3,2024-08-04,PANG CHOLMI,PRK,W,Boxing,Women's 54kg,HATH,/en/paris-2024/results/boxing/women-s-54kg/sfnl000100--,1980125
Bronze Medal,3,2024-08-04,IM AEJI,KOR,W,Boxing,Women's 54kg,HATH,/en/paris-2024/results/boxing/women-s-54kg/sfnl000200--,1891890
Gold Medal,1,2024-08-04,KRISTEN FAULKNER,USA,W,Cycling Road,Women's Road Race,ATH,/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--,1955081
Silver Medal,2,2024-08-04,MARIANNE VOS,NED,W,Cycling Road,Women's Road Race,ATH,/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--,1969165
Bronze Medal,3,2024-08-04,LOTTE KOPECKY,BEL,W,Cycling Road,Women's Road Race,ATH,/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--,1903120
Gold Medal,1,2024-08-04,JESSICA VON BREDOW-WERNDL,GER,O,Equestrian,Dressage Individual,ATH,/en/paris-2024/results/equestrian/dressage-individual/gpfr000100--,1914905
Silver Medal,2,2024-08-04,ISABELL WERTH,GER,O,Equestrian,Dressage Individual,ATH,/en/paris-2024/results/equestrian/dressage-individual/gpfr000100--,1914909
Bronze Medal,3,2024-08-04,CHARLOTTE FRY,GBR,O,Equestrian,Dressage Individual,ATH,/en/paris-2024/results/equestrian/dressage-individual/gpfr000100--,1970905
Gold Medal,1,2024-08-04,JAPAN,JPN,M,Fencing,Men's Foil Team,HTEAM,/en/paris-2024/results/fencing/men-s-foil-team/fnl-000100--,FENMTEAMFOILJPN01
Silver Medal,2,2024-08-04,ITALY,ITA,M,Fencing,Men's Foil Team,HTEAM,/en/paris-2024/results/fencing/men-s-foil-team/fnl-000100--,FENMTEAMFOILITA01
Bronze Medal,3,2024-08-04,FRANCE,FRA,M,Fencing,Men's Foil Team,HTEAM,/en/paris-2024/results/fencing/men-s-foil-team/fnl-000200--,FENMTEAMFOILFRA01
Gold Medal,1,2024-08-04,SCOTTIE SCHEFFLER,USA,M,Golf,Men's Individual Stroke Play,ATH,/en/paris-2024/results/golf/men-s-individual-stroke-play/fnl---------,1951724
Silver Medal,2,2024-08-04,TOMMY FLEETWOOD,GBR,M,Golf,Men's Individual Stroke Play,ATH,/en/paris-2024/results/golf/men-s-individual-stroke-play/fnl---------,1923629
Bronze Medal,3,2024-08-04,MATSUYAMA HIDEKI,JPN,M,Golf,Men's Individual Stroke Play,ATH,/en/paris-2024/results/golf/men-s-individual-stroke-play/fnl---------,1961406
Gold Medal,1,2024-08-04,FRANCISCA CROVETTO CHADID,CHI,W,Shooting,Skeet Women,ATH,/en/paris-2024/results/shooting/skeet-women/fnl-000100--,1937878
Silver Medal,2,2024-08-04,AMBER JO RUTTER,GBR,W,Shooting,Skeet Women,ATH,/en/paris-2024/results/shooting/skeet-women/fnl-000100--,1977402
Bronze Medal,3,2024-08-04,AUSTEN JEWELL SMITH,USA,W,Shooting,Skeet Women,ATH,/en/paris-2024/results/shooting/skeet-women/fnl-000100--,1944397
Gold Medal,1,2024-08-04,BOBBY FINKE,USA,M,Swimming,Men's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-1500m-freestyle/fnl-000100--,1935902
Silver Medal,2,2024-08-04,GREGORIO PALTRINIERI,ITA,M,Swimming,Men's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-1500m-freestyle/fnl-000100--,1925630
Bronze Medal,3,2024-08-04,DANIEL WIFFEN,IRL,M,Swimming,Men's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-1500m-freestyle/fnl-000100--,1539969
Gold Medal,1,2024-08-04,CHINA,CHN,M,Swimming,Men's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--,SWMM4X100MMDCHN01
Silver Medal,2,2024-08-04,UNITED STATES,USA,M,Swimming,Men's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--,SWMM4X100MMDUSA01
Bronze Medal,3,2024-08-04,FRANCE,FRA,M,Swimming,Men's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--,SWMM4X100MMDFRA01
Gold Medal,1,2024-08-04,UNITED STATES,USA,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--,SWMW4X100MMDUSA01
Silver Medal,2,2024-08-04,AUSTRALIA,AUS,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--,SWMW4X100MMDAUS01
Bronze Medal,3,2024-08-04,CHINA,CHN,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--,SWMW4X100MMDCHN01
Gold Medal,1,2024-08-04,SARAH SJOESTROEM,SWE,W,Swimming,Women's 50m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-50m-freestyle/fnl-000100--,1572557
